Jan 1,Monday,New Year's Day,Federal Holiday,
Jan 1,Monday,New Year's Day,State Holiday,All
Jan 1,Monday,New Year's Eve observed,State Holiday,"LA, MI, WI"
Jan 4,Thursday,World Braille Day,United Nations observance,
Jan 6,Saturday,Epiphany,Christian,
Jan 7,Sunday,Orthodox Christmas Day,Orthodox,
Jan 7,Sunday,International Programmers' Day,Worldwide observance,
Jan 7,Sunday,Estelle Reel Day,State Observance,Wyoming
Jan 8,Monday,Battle of New Orleans,State Legal Holiday,Louisiana
Jan 13,Saturday,Stephen Foster Memorial Day,Observance,
Jan 14,Sunday,Orthodox New Year,Orthodox,
Jan 15,Monday,Martin Luther King Jr. Day,State Holiday,All
Jan 15,Monday,Martin Luther King Jr. Day,Federal Holiday,
Jan 15,Monday,Robert E. Lee's Birthday,State Holiday,"Alabama, Mississippi"
Jan 15,Monday,Idaho Human Rights Day,State Holiday,Idaho
Jan 15,Monday,Civil Rights Day,State Holiday,"Arizona, New Hampshire"
Jan 19,Friday,Robert E. Lee's Birthday,State Legal Holiday,Florida
Jan 19,Friday,State Holiday,State Observance,Georgia
Jan 19,Friday,Confederate Heroes' Day,State Holiday,Texas
Jan 21,Sunday,World Religion Day,Worldwide observance,
Jan 24,Wednesday,International Day of Education,United Nations observance,
Jan 25,Thursday,Tu Bishvat/Tu B'Shevat,Jewish holiday,
Jan 26,Friday,International Customs Day,Worldwide observance,
Jan 27,Saturday,International Day of Commemoration in Memory of the Victims of the Holocaust,United Nations observance,
Jan 28,Sunday,World Leprosy Day,Worldwide observance,
Jan 29,Monday,Kansas Day,State Observance,Kansas
Feb 1,Thursday,National Freedom Day,Observance,
Feb 1,Thursday,First Day of Black History Month,Annual Monthly Observance,
Feb 2,Friday,World Wetlands Day,Worldwide observance,
Feb 2,Friday,Groundhog Day,Observance,
Feb 2,Friday,National Wear Red Day,Observance,
Feb 4,Sunday,International Day of Human Fraternity,United Nations observance,
Feb 4,Sunday,World Cancer Day,Worldwide observance,
Feb 4,Sunday,Rosa Parks Day,Local observance,"California, Missouri"
Feb 4,Sunday,Rosa Parks Day,State Observance,New York
Feb 6,Tuesday,International Day of Zero Tolerance for Female Genital Mutilation,United Nations observance,
Feb 6,Tuesday,Ronald Reagan Day,State Observance,California
Feb 7,Wednesday,Isra and Mi'raj,Muslim,
Feb 7,Wednesday,National Girls and Women in Sports Day,Observance,
Feb 10,Saturday,World Pulses Day,United Nations observance,
Feb 10,Saturday,Lunar New Year,Observance,
Feb 11,Sunday,International Day of Women and Girls in Science,United Nations observance,
Feb 11,Sunday,World Day of the Sick,Worldwide observance,
Feb 11,Sunday,Super Bowl,Sporting event,
Feb 12,Monday,Lincoln's Birthday,State Holiday,"CT, IL, MO, NY"
Feb 12,Monday,Lincoln's Birthday,State Legal Holiday,Florida
Feb 12,Monday,Georgia Day,State Observance,Georgia
Feb 13,Tuesday,World Radio Day,United Nations observance,
Feb 13,Tuesday,Shrove Tuesday/Mardi Gras,"Observance, Christian",
Feb 13,Tuesday,Shrove Tuesday/Mardi Gras,State Holiday,"AL**, FL*, LA, MS*"
Feb 14,Wednesday,Ash Wednesday,Christian,
Feb 14,Wednesday,Valentine's Day,Observance,
Feb 14,Wednesday,Statehood Day,Local observance,Arizona
Feb 15,Thursday,Susan B. Anthony's Birthday,State Observance,"CO, FL, NY, WI"
Feb 16,Friday,Elizabeth Peratrovich Day,State Observance,Alaska
Feb 19,Monday,Presidents' Day,Federal Holiday,
Feb 19,Monday,Presidents' Day,State Holiday,"All except DE, FL, GA, IA, KS, KY, LA, NC, RI, WI"
Feb 19,Monday,Presidents' Day,State Legal Holiday,"KS, KY, LA, NC, RI, WI"
Feb 19,Monday,Daisy Gatson Bates Day,State Holiday,Arkansas
Feb 20,Tuesday,World Day of Social Justice,United Nations observance,
Feb 21,Wednesday,International Mother Language Day,United Nations observance,
Feb 25,Sunday,African-American Scientist and Inventor Day,State Observance,Virginia
Feb 25,Sunday,George Rogers Clark Day,State Observance,Indiana
Feb 28,Wednesday,Linus Pauling Day,Local observance,Oregon
Feb 29,Thursday,Leap Day,Worldwide observance,
Mar 1,Friday,Zero Discrimination Day,United Nations observance,
Mar 1,Friday,Self-Injury Awareness Day,Worldwide observance,
Mar 1,Friday,St. David's Day,"Observance, Christian",
Mar 1,Friday,Read Across America Day,Observance,
Mar 1,Friday,Employee Appreciation Day,Observance,
Mar 1,Friday,First Day of Women's History Month,Annual Monthly Observance,
Mar 1,Friday,First Day of Irish American Heritage Month,Annual Monthly Observance,
Mar 2,Saturday,Texas Independence Day,State Holiday,Texas
Mar 3,Sunday,World Wildlife Day,United Nations observance,
Mar 4,Monday,Casimir Pulaski Day,State Observance,"Illinois, Indiana"
Mar 4,Monday,Casimir Pulaski Day,State Observance,Wisconsin
Mar 5,Tuesday,Town Meeting Day,State Holiday,Vermont
Mar 8,Friday,Maha Shivaratri,Hindu Holiday,
Mar 8,Friday,International Women's Day,United Nations observance,
Mar 10,Sunday,International Day of Women Judges,United Nations observance,
Mar 10,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time,
Mar 11,Monday,Ramadan Starts,Muslim,
Mar 14,Thursday,World Kidney Day,Worldwide observance,
Mar 17,Sunday,St. Patrick's Day,"Observance, Christian",
Mar 17,Sunday,Evacuation Day,State Holiday,Massachusetts**
Mar 18,Monday,Evacuation Day observed,State Holiday,Massachusetts**
Mar 19,Tuesday,March Equinox,Season,
Mar 20,Wednesday,French Language Day,United Nations observance,
Mar 20,Wednesday,International Day of Happiness,United Nations observance,
Mar 21,Thursday,International Day for the Elimination of Racial Discrimination,United Nations observance,
Mar 21,Thursday,World Poetry Day,United Nations observance,
Mar 21,Thursday,International Day of Nowruz,United Nations observance,
Mar 21,Thursday,World Down Syndrome Day,United Nations observance,
Mar 21,Thursday,International Day of Forests,United Nations observance,
Mar 22,Friday,World Water Day,United Nations observance,
Mar 23,Saturday,World Meteorological Day,United Nations observance,
Mar 24,Sunday,Palm Sunday,Christian,
Mar 24,Sunday,Purim,Jewish holiday,
Mar 24,Sunday,World Tuberculosis Day,United Nations observance,
Mar 24,Sunday,International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims,United Nations observance,
Mar 25,Monday,Holi,Hindu Holiday,
Mar 25,Monday,International Day of Remembrance of Slavery Victims and the Transatlantic Slave Trade,United Nations observance,
Mar 25,Monday,International Day of Solidarity with Detained and Missing Staff Members,United Nations observance,
Mar 25,Monday,Maryland Day,Local observance,Maryland
Mar 25,Monday,Seward's Day,State Holiday,Alaska
Mar 26,Tuesday,Prince Jonah Kuhio Kalanianaole Day,State Holiday,Hawaii
Mar 28,Thursday,Maundy Thursday,Christian,
Mar 29,Friday,Good Friday,State Holiday,"CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***"
Mar 29,Friday,State Holiday,State Holiday,Georgia
Mar 29,Friday,National Vietnam War Veterans Day,Observance,
Mar 30,Saturday,Holy Saturday,Christian,
Mar 30,Saturday,Earth Hour,Worldwide observance,
Mar 30,Saturday,Wyoming Veterans Welcome Home Day,State Observance,Wyoming
Mar 30,Saturday,Doctors' Day,Observance,
Mar 30,Saturday,Vietnam Veterans Day,State Observance,"Delaware, West Virginia"
Mar 31,Sunday,Easter Sunday,"Observance, Christian",
Mar 31,Sunday,César Chávez Day,State Holiday,California
Mar 31,Sunday,César Chávez Day,State Holiday,"AZ**, CO***, MI**, NM**, NV**, TX***, UT**, WA**, WI**"
Apr 1,Monday,April Fool's Day,Worldwide observance,
Apr 1,Monday,Easter Monday,"Observance, Christian",
Apr 1,Monday,César Chávez Day (substitute),State Holiday,California
Apr 2,Tuesday,World Autism Awareness Day,United Nations observance,
Apr 2,Tuesday,Pascua Florida Day,Local observance,Florida
Apr 4,Thursday,United Nations' Mine Awareness Day,United Nations observance,
Apr 5,Friday,Lailat al-Qadr,Muslim,
Apr 5,Friday,International Day of Conscience,United Nations observance,
Apr 6,Saturday,International Day of Sport for Development and Peace,United Nations observance,
Apr 6,Saturday,National Tartan Day,Observance,
